TotalFile:87245	PakTime:2011-12-8 10:57:19	PakTimeSave:4ee0278f	CRC:66097dc7
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
18	1165d2	2006-12-9 20:3:8	\maps\特殊用地\界桥战场\v_095\089_region_s.dat	2100	135	4	c44f4a7b
19	11b0f6	2006-12-9 20:4:42	\maps\中原南区\扬州\v_104\111_region_s.dat	2295	184	4	387fcfbf
20	125a79	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞3\v_108\093_region_s.dat	2100	139	4	db964435
21	126156	2006-12-9 20:3:35	\maps\西北北区\莫高窟\v_107\095_region_s.dat	2100	63	4	af8d43df
22	12620e	2006-12-9 20:3:48	\maps\西南北区\峨嵋派\峨嵋派\v_158\120_region_s.dat	2100	38	4	38b45e82
23	1271fa	2006-12-9 20:3:44	\maps\西北南区\剑阁西北\经皇洞迷宫\v_110\090_region_s.dat	2100	26	4	b6589c92
24	12b957	2006-12-9 20:3:6	\maps\两湖区\天王帮\洞庭湖底山洞2\v_095\096_region_s.dat	2417	320	4	c08a408a
25	1373a0	2006-12-9 20:2:58	\maps\江南区\西山屿\v_078\086_region_s.dat	2295	140	4	7f97b9cb
26	142c5f	2006-12-9 20:4:21	\maps\中原北区\汴京\铁塔迷宫\v_099\102_region_s.dat	2173	158	4	f7c574f1
27	157b24	2006-12-9 20:3:29	\maps\西北北区\昆仑派\昆仑派\v_105\103_region_s.dat	2100	144	4	ca53dbe7
28	160d0f	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_100\119_region_s.dat	2416	323	4	10c1efff
29	17f207	2010-5-19 10:3:0	\maps\特殊用地\qichengdazhan\yangzhouzhanchang\v_099\124_region_s.dat	2100	111	4	f927edda
30	1811fa	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_100\092_region_s.dat	2295	148	4	6c64e4c7
31	182ad8	2006-12-9 20:3:48	\maps\西南北区\峨嵋派\峨嵋派\v_156\134_region_s.dat	2295	260	4	66a5591d
32	19716b	2008-9-28 0:32:54	\maps\特殊用地\古城战场\v_114\115_region_s.dat	2100	173	4	52083f82
33	19fa90	2006-12-9 20:4:39	\maps\中原南区\武当派\武当派.wor	298	211	4	395f60d9
34	1a513e	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山\v_099\093_region_s.dat	2173	203	4	447c7203
35	1c9f5d	2006-12-9 20:3:7	\maps\特殊用地\城镇战场\v_108\117_region_s.dat	2100	70	4	b5fe40d5
36	1d340c	2010-5-19 10:1:56	\maps\特殊用地\qichengdazhan\bianjingzhanchang\v_117\103_region_s.dat	2100	83	4	ce28ceda
37	1d3e61	2011-6-1 10:38:14	\maps\特殊用地\yuegemigu\v_109\123_region_s.dat	2100	134	4	3ce91c37
38	1f0a15	2010-5-19 9:23:20	\maps\特殊用地\qichengdazhan\chengduzhanchang\v_104\107_region_s.dat	2100	129	4	2a6783db
39	1fcf9d	2006-12-9 20:3:29	\maps\西北北区\昆仑派\见性峰山洞\v_091\103_region_s.dat	2356	210	4	8a687a7d
40	222688	2006-12-9 20:3:6	\maps\两湖区\武陵山\大酋洞迷宫\v_095\093_region_s.dat	2234	248	4	b6d68b5
41	2272ce	2006-12-9 20:3:38	\maps\西北南区\凤翔\v_101\116_region_s.dat	2234	110	4	49387e68
42	230129	2006-12-9 20:2:57	\maps\江南区\桃花岛\v_098\095_region_s.dat	2100	149	4	7238a986
43	236a9d	2006-12-9 20:4:31	\maps\中原北区\朱仙镇\v_102\108_region_s.dat	2295	124	4	7abbad45
44	23edee	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴剧情任务\紫霞岭\v_089\098_region_s.dat	2100	92	4	7dd1396d
45	244b42	2006-12-9 20:3:8	\maps\特殊用地\剑门关\v_091\081_region_s.dat	2100	37	4	2b02222a
46	256d94	2006-12-9 20:3:0	\maps\两湖区\神农架\燕子洞迷宫\v_104\103_region_s.dat	2100	205	4	1f486721
47	26e217	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_109\102_region_s.dat	2417	198	4	6b0c16c
48	276902	2006-12-9 20:3:39	\maps\西北南区\华山\华山\v_115\152_region_s.dat	2356	167	4	366b673e
49	276d93	2008-9-28 0:32:55	\maps\特殊用地\荒漠战场\v_115\106_region_s.dat	2100	82	4	2d37593e
50	293d69	2006-12-9 20:2:56	\maps\东北区\临渝关\v_114\107_region_s.dat	2100	221	4	aa01969d
51	296f8b	2006-12-9 20:3:26	\maps\特殊用地\任务用地\信使任务\风之骑\v_097\089_region_s.dat	2100	89	4	15f4c815
52	29de17	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴教育任务\云中道\v_100\102_region_s.dat	2100	29	4	fb8b972d
53	2a539a	2006-12-9 20:3:28	\maps\西北北区\古阳洞迷宫\v_104\110_region_s.dat	2295	238	4	f9a39be2
54	2a866f	2006-12-9 20:2:57	\maps\江南区\罗霄山\孽龙洞迷宫\v_097\101_region_s.dat	2100	98	4	9dbd12e1
55	2b1ba6	2011-6-1 10:38:53	\maps\特殊用地\yuegemigu\v_133\099_region_s.dat	2100	134	4	3ce91c37
56	2b986a	2006-12-9 20:3:8	\maps\特殊用地\梦境\v_090\094_region_s.dat	2100	88	4	7d38e5e2
57	2d5693	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_091\142_region_s.dat	2100	86	4	a3348a08
58	2dd0d2	2006-12-9 20:3:49	\maps\西南北区\芙蓉洞迷宫\v_087\108_region_s.dat	2234	250	4	254f9296
59	2e5bc3	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴剧情任务\百花谷\v_096\092_region_s.dat	2100	208	4	ee4085ab
60	2e7a04	2011-6-1 10:38:58	\maps\特殊用地\yuegemigu\v_135\147_region_s.dat	2100	122	4	10193bad
61	2eed16	2011-6-1 10:38:22	\maps\特殊用地\yuegemigu\v_113\147_region_s.dat	2100	274	4	32eb2086
62	2fc8e5	2006-12-9 20:4:31	\maps\中原北区\朱仙镇\v_101\094_region_s.dat	2234	106	4	7046589c
63	30ac00	2006-12-9 20:2:49	\maps\东北区\长白山\长白山北麓\v_102\116_region_s.dat	2356	132	4	4c2803a4
64	3263e9	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴教育任务\云中道\v_115\098_region_s.dat	2100	252	4	67873a9b
65	34bd7d	2006-12-9 20:2:59	\maps\两湖区\神农架\神农架\v_109\111_region_s.dat	2100	228	4	1834b4b7
66	36278c	2006-12-9 20:3:8	\maps\特殊用地\联赛比赛用地\v_104\122_region_s.dat	2100	243	4	1b0adc32
67	3879fb	2006-12-9 20:3:26	\maps\特殊用地\任务用地\信使任务\千宝库\v_076\099_region_s.dat	2100	153	4	5071fff2
68	38e4d0	2006-12-9 20:3:7	\maps\特殊用地\长歌门禁地\v_101\108_region_s.dat	2100	113	4	50e6db4a
69	391a96	2006-12-9 20:2:57	\maps\江南区\罗霄山\龙宫洞迷宫\v_099\106_region_s.dat	2100	173	4	910a442a
70	399bc8	2006-12-9 20:3:29	\maps\西北北区\昆仑派\快活林迷宫\v_097\099_region_s.dat	2100	119	4	86318dbc
71	3a6104	2006-12-9 20:4:3	\maps\西南南区\点苍山\点苍山洞三层\v_097\101_region_s.dat	2173	97	4	86842f0b
72	3a68ed	2011-6-1 10:38:6	\maps\特殊用地\yuegemigu\v_103\141_region_s.dat	2100	86	4	e925137
73	3ae841	2006-12-9 20:2:56	\maps\东北区\临渝关\v_109\125_region_s.dat	2539	175	4	c1ce880b
74	3b0131	2006-12-9 20:3:5	\maps\两湖区\桃花源\v_093\097_region_s.dat	2173	157	4	3d43f2c1
75	3b1b29	2006-12-9 20:3:29	\maps\西北北区\昆仑派\昆仑派\v_096\085_region_s.dat	2173	171	4	fea309ce
76	3c1ecc	2006-12-9 20:4:24	\maps\中原北区\少林派\少林派\v_083\088_region_s.dat	2173	116	4	c63af246
77	3f0e17	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞1\v_101\104_region_s.dat	2100	205	4	1d763328
78	3fe1dc	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_075\066_region_s.dat	2100	109	4	bc0fd113
79	408b8a	2006-12-9 20:3:30	\maps\西北北区\龙门镇\v_139\134_region_s.dat	2173	130	4	a4325473
80	4393da	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_107\110_region_s.dat	2173	58	4	3bd8bde3
81	44f2c3	2008-8-21 15:24:52	\maps\特殊用地\箭塔战场\v_102\136_region_s.dat	2100	86	4	93347842
82	458530	2010-11-17 16:11:31	\maps\特殊用地\jianzhong\trap-29下边界\00000.ini	86	81	4	5bd9acf3
83	4669db	2011-6-1 10:37:58	\maps\特殊用地\yuegemigu\v_098\127_region_s.dat	2100	67	4	a9a832e5
84	479e84	2009-1-26 0:30:21	\maps\特殊用地\chunfenggu\v_103\105_region_s.dat	2100	205	4	436af24b
85	48ef0e	2006-12-9 20:4:22	\maps\中原北区\风陵渡\v_092\087_region_s.dat	186	65	4	29d9d32
86	4913a4	2009-8-5 23:20:8	\maps\rongyuxitong\mingrentang\v_100\102_region_s.dat	2100	75	4	458c679a
87	493b7e	2006-12-9 20:3:48	\maps\西南北区\峨嵋派\峨嵋派\v_152\132_region_s.dat	2100	183	4	9b4f33cd
88	4974b4	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_080\078_region_s.dat	2100	135	4	3810f38a
89	497fe8	2006-12-9 20:3:43	\maps\西北南区\剑阁西北\金光洞迷宫\v_098\112_region_s.dat	2173	194	4	121875b
90	498db6	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_091\072_region_s.dat	2234	143	4	866d5615
91	4a0dbc	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_085\139_region_s.dat	2100	27	4	a67764dd
92	4ab8c3	2006-12-9 20:3:10	\maps\特殊用地\任务用地\同伴剧情任务\紫霞岭\v_095\113_region_s.dat	2100	139	4	b3e8625a
93	4b1348	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_085\109_region_s.dat	2100	29	4	4b2b6bc8
94	4c0322	2006-12-9 20:4:31	\maps\中原北区\朱仙镇\v_100\114_region_s.dat	2356	159	4	9112b30b
95	4cf6eb	2006-12-9 20:4:19	\maps\西南南区\天龙寺\天龙寺\v_093\093_region_s.dat	2100	131	4	d0f0b58d
96	4e001f	2006-12-9 20:3:50	\maps\西南北区\剑阁西南\v_134\204_region_s.dat	2356	121	4	f7fe6dc8
97	4e3d85	2006-12-9 20:4:27	\maps\中原北区\少林派\一百零八罗汉阵\v_105\100_region_s.dat	2100	68	4	4f82d96a
98	4e45a7	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_117\080_region_s.dat	2100	132	4	25f27bde
99	4f131d	2006-12-9 20:4:43	\maps\中原南区\扬州\v_105\099_region_s.dat	2295	248	4	7780785f
100	4fa108	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_101\129_region_s.dat	2100	45	4	ad172ca1
101	50605c	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_087\099_region_s.dat	2295	344	4	36929a9e
102	507a75	2006-12-9 20:2:49	\maps\东北区\长白山\长白山北麓\v_105\101_region_s.dat	369	99	4	1ed5138
103	51caa7	2006-12-9 20:3:8	\maps\特殊用地\端午节地图\v_097\095_region_s.dat	2100	154	4	7fd61c39
104	51cd98	2006-12-9 20:3:30	\maps\西北北区\龙门镇\v_139\111_region_s.dat	2173	113	4	63562550
105	52b55b	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_078\080_region_s.dat	2100	167	4	b09a6d3e
106	5311d5	2006-12-9 20:3:7	\maps\特殊用地\帮会专用\成都\v_099\098_region_s.dat	2100	239	4	ce8c4e4
107	531e48	2009-1-26 0:30:21	\maps\特殊用地\chunfenggu\v_107\106_region_s.dat	2100	188	4	f0a2f7a5
108	556da4	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_104\085_region_s.dat	2100	95	4	e7504bc0
109	5673f3	2006-12-9 20:3:8	\maps\特殊用地\联赛比赛用地\v_100\115_region_s.dat	2100	123	4	a07f0cdd
110	579bba	2006-12-9 20:4:23	\maps\中原北区\剑阁中原\v_098\105_region_s.dat	2100	79	4	7502fea9
111	58bcf0	2010-5-19 10:2:49	\maps\特殊用地\qichengdazhan\yangzhouzhanchang\v_097\110_region_s.dat	2100	165	4	3dc5fb2f
112	5a1e25	2006-12-9 20:2:58	\maps\两湖区\神农架\蚩尤洞迷宫\v_096\106_region_s.dat	2356	226	4	a90a4c04
113	5a64fd	2006-12-9 20:2:57	\maps\江南区\罗霄山\罗霄山\v_094\113_region_s.dat	2100	174	4	fb62ed73
114	5af8e7	2006-12-9 20:3:43	\maps\西北南区\剑阁西北\金光洞迷宫\v_095\089_region_s.dat	2100	173	4	cfd41a6a
115	5afda0	2006-12-9 20:2:57	\maps\江南区\临安\临安\v_102\100_region_s.dat	2100	137	4	23aca24a
116	5c32c8	2006-12-9 20:3:7	\maps\特殊用地\春节地图\v_088\103_region_s.dat	2100	133	4	fea130f4
117	5c45fd	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_091\102_region_s.dat	2100	184	4	6c42d1a9
118	5cb2a3	2006-12-9 20:3:7	\maps\特殊用地\城镇战场\v_108\122_region_s.dat	2100	103	4	1749ea43
119	5ddee1	2006-12-9 20:3:7	\maps\特殊用地\城镇单挑战场.wor	111	97	4	49307447
120	5dee96	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞1\v_103\103_region_s.dat	2417	209	4	29e1a0c5
121	5f32c1	2006-12-9 20:2:56	\maps\东北区\临渝关\v_100\107_region_s.dat	2173	108	4	7261d83c
122	5fab3d	2009-7-16 4:23:57	\maps\特殊用地\tianxingu1\v_108\104_region_s.dat	2100	57	4	2aa0db59
123	6090db	2006-12-9 20:2:57	\maps\江南区\罗霄山\孽龙洞迷宫\v_108\135_region_s.dat	2100	126	4	cee168f7
124	61e94a	2006-12-9 20:3:47	\maps\西南北区\长江源头\长江源头\v_184\143_region_s.dat	2231	213	4	63e9d3ac
125	632120	2006-12-9 20:3:40	\maps\西北南区\华山绝顶\v_098\099_region_s.dat	2100	77	4	be62be31
126	638899	2006-12-9 20:4:23	\maps\中原北区\剑阁中原\v_098\098_region_s.dat	2295	181	4	3a812b1f
127	64275b	2006-12-9 20:3:1	\maps\两湖区\神农架\燕子洞迷宫\v_105\096_region_s.dat	2100	244	4	be749cfc
128	654312	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_071\064_region_s.dat	2100	223	4	4a997d95
129	654b47	2006-12-9 20:4:29	\maps\中原北区\天忍教\天忍教圣洞2\v_106\110_region_s.dat	2100	82	4	8164cff5
130	668095	2006-12-9 20:2:49	\maps\东北区\长白山\长白山北麓\v_113\124_region_s.dat	2100	48	4	8020881d
131	6801ec	2006-12-9 20:2:57	\maps\江南区\武夷山\武夷山\v_083\069_region_s.dat	2295	194	4	73ddf26d
132	69d89d	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_100\108_region_s.dat	2100	233	4	9aef57ac
133	6a6658	2006-12-9 20:2:57	\maps\江南区\五毒教\入门迷宫\v_086\119_region_s.dat	2100	139	4	e1aeeffd
134	6b1d8b	2006-12-9 20:4:38	\maps\中原南区\武当派\武当派\v_094\104_region_s.dat	2100	215	4	8f939b91
135	6b8604	2006-12-9 20:3:8	\maps\特殊用地\界桥战场\v_089\096_region_s.dat	2100	120	4	5b217251
136	6bd3ef	2006-12-9 20:4:33	\maps\中原南区\丐帮\地下迷宫一层\v_094\108_region_s.dat	2356	225	4	653092a6
137	6ca045	2006-12-9 20:3:27	\maps\特殊用地\山谷战场\v_093\070_region_s.dat	2100	123	4	f8b901b3
138	6e9323	2008-9-28 0:32:54	\maps\特殊用地\古城战场\v_115\124_region_s.dat	2100	201	4	623de946
139	6ec882	2006-12-9 20:2:58	\maps\江南区\雁荡山\雁荡山\v_095\068_region_s.dat	2173	176	4	7e0f6eaf
140	6fa0f5	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_095\095_region_s.dat	2100	241	4	412f2bfd
141	6ffb65	2006-12-9 20:3:9	\maps\特殊用地\梦境\v_098\100_region_s.dat	2100	235	4	940369ca
142	713c86	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_128\088_region_s.dat	2100	167	4	5a18ba6e
143	71c438	2006-12-9 20:2:56	\maps\东北区\临渝关\v_100\122_region_s.dat	2173	234	4	d9bc34c0
144	749477	2006-12-9 20:3:29	\maps\西北北区\昆仑派\昆仑派\v_110\107_region_s.dat	2417	151	4	edef6595
145	7514f8	2006-12-9 20:3:28	\maps\特殊用地\营寨战场\v_079\081_region_s.dat	2100	147	4	1b0c4ffd
146	7536fc	2006-12-9 20:2:57	\maps\江南区\武夷山\武夷山\v_082\072_region_s.dat	2100	186	4	6468d6da
147	75bea2	2006-12-9 20:3:28	\maps\西北北区\黄河源头\黄河源头\v_095\101_region_s.dat	2100	45	4	c72f8709
148	774ccb	2006-12-9 20:3:39	\maps\西北南区\凤翔\v_108\085_region_s.dat	2417	249	4	a45aa023
149	77cf33	2006-12-9 20:3:37	\maps\西北北区\药王谷\雪豹洞四层\v_104\102_region_s.dat	2100	97	4	b7615feb
150	77f810	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞1\v_101\079_region_s.dat	2539	249	4	e283dd03
151	7918a7	2006-12-9 20:3:38	\maps\西北南区\凤翔\v_092\096_region_s.dat	2295	241	4	dae9d33b
152	797c1f	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴剧情任务\百花谷\v_088\093_region_s.dat	2100	129	4	85d6ccaf
153	7a0f31	2006-12-9 20:3:53	\maps\西南北区\青城山\青城山\v_122\150_region_s.dat	2100	37	4	db291011
154	7af9cb	2006-12-9 20:3:44	\maps\西北南区\剑阁西北\经皇洞迷宫\v_111\106_region_s.dat	2100	77	4	4f3a63f5
155	7bc687	2011-6-1 10:38:47	\maps\特殊用地\yuegemigu\v_129\123_region_s.dat	2100	122	4	10193bad
156	7c38ea	2006-12-9 20:3:28	\maps\西北北区\黄河源头\留仙洞四层\v_094\095_region_s.dat	2100	124	4	a78bae79
157	7c5d23	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_109\093_region_s.dat	2234	89	4	c6bf772
158	7c73be	2006-12-9 20:2:57	\maps\江南区\武夷山\武夷山\v_080\102_region_s.dat	2100	136	4	1080053a
159	7c9cd4	2006-12-9 20:3:8	\maps\特殊用地\界桥战场\v_081\088_region_s.dat	2100	104	4	c399355e
160	7ce1d6	2006-12-9 20:3:28	\maps\西北北区\黄河源头\留仙洞三层\v_099\104_region_s.dat	2234	213	4	1e98b01c
161	7e3c8e	2006-12-9 20:3:28	\maps\西北北区\古阳洞迷宫\v_108\100_region_s.dat	2173	143	4	4305163f
162	7e9946	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_108\097_region_s.dat	2295	188	4	e695abfb
163	81094e	2006-12-9 20:4:31	\maps\中原北区\朱仙镇\v_107\082_region_s.dat	2100	242	4	fef78ab0
164	814b86	2006-12-9 20:3:55	\maps\西南北区\唐门\唐门\v_159\254_region_s.dat	2120	228	4	8a7f568d
165	815e4b	2006-12-9 20:2:58	\maps\两湖区\衡山派\衡山派\v_107\090_region_s.dat	2100	242	4	a3f07a07
166	827ef3	2007-11-9 0:33:39	\maps\特殊用地\炎帝宝藏\v_101\118_region_s.dat	2100	94	4	17388ff1
167	82aefd	2006-12-9 20:3:56	\maps\西南北区\唐门\唐门\v_167\251_region_s.dat	2100	101	4	4fba53e3
168	82de7f	2006-12-9 20:3:48	\maps\西南北区\成都\成都\v_160\198_region_s.dat	2100	181	4	d865b630
169	84751a	2006-12-9 20:3:7	\maps\特殊用地\长歌门禁地\v_103\103_region_s.dat	2100	112	4	d1eecc99
170	84a592	2006-12-9 20:3:29	\maps\西北北区\昆仑派\快活林迷宫\v_101\104_region_s.dat	2100	171	4	b333eedd
171	84cd4a	2006-12-9 20:3:38	\maps\西北南区\凤翔\v_085\114_region_s.dat	2100	134	4	30645495
172	84d277	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_104\139_region_s.dat	2100	82	4	53078423
173	85e914	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_079\141_region_s.dat	2100	50	4	87fa7540
174	86a77e	2006-12-9 20:3:54	\maps\西南北区\唐门\祭祖厅\v_100\100_region_s.dat	2100	29	4	207a6ed3
175	870143	2006-12-9 20:2:56	\maps\东北区\漠北草原\v_099\084_region_s.dat	2356	123	4	a6dd0a7c
176	876d4d	2006-12-9 20:3:7	\maps\特殊用地\帮会专用\成都\v_100\097_region_s.dat	2100	216	4	f6b529c8
177	88a2c2	2006-12-9 20:3:27	\maps\特殊用地\森林战场\v_096\086_region_s.dat	2100	119	4	7f0bbe45
178	88f92b	2006-12-9 20:3:7	\maps\特殊用地\帮会专用\成都\v_099\106_region_s.dat	2100	111	4	c2957409
179	896478	2006-12-9 20:3:39	\maps\西北南区\华山\华山\v_108\157_region_s.dat	247	88	4	1d20e25d
180	8a77c4	2006-12-9 20:3:57	\maps\西南南区\翠烟门\翠烟\v_033\039_region_s.dat	2173	64	4	3e3c5bab
181	8a858d	2006-12-9 20:3:13	\maps\特殊用地\任务用地\信使任务\风之骑\v_082\091_region_s.dat	2100	75	4	2823db41
182	8b9437	2006-12-9 20:4:33	\maps\中原南区\伏牛山\鸡冠洞迷宫\v_088\107_region_s.dat	2100	146	4	5985426e
183	8d6975	2011-6-1 10:38:31	\maps\特殊用地\yuegemigu\v_119\110_region_s.dat	2100	167	4	cb8616e6
184	9029a4	2010-5-19 10:1:32	\maps\特殊用地\qichengdazhan\bianjingzhanchang\v_113\106_region_s.dat	2100	30	4	35df6575
185	903fd7	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_103\087_region_s.dat	2100	97	4	10c49d27
186	910ec8	2006-12-9 20:3:8	\maps\特殊用地\端午节地图\v_101\086_region_s.dat	2100	33	4	f6ef543
187	916c3c	2006-12-9 20:3:59	\maps\西南南区\大理\大理府\v_110\106_region_s.dat	2173	115	4	ccf3fdf4
188	9348da	2006-12-9 20:3:57	\maps\西南南区\翠烟门\翠烟\v_024\030_region_s.dat	2514	356	4	656e0b99
189	9634dd	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_093\089_region_s.dat	2100	72	4	9fa9636f
190	9642a0	2006-12-9 20:3:8	\maps\特殊用地\端午节地图\v_082\081_region_s.dat	2100	96	4	ed5de287
191	969fcf	2006-12-9 20:4:20	\maps\中原北区\汴京\汴京\v_078\107_region_s.dat	2356	133	4	5fee335c
192	98919c	2006-12-9 20:3:7	\maps\特殊用地\冲锋战场\v_097\108_region_s.dat	2100	134	4	90551d71
193	98fe03	2006-12-9 20:3:39	\maps\西北南区\华山\华山\v_123\159_region_s.dat	2234	288	4	1593adf9
194	9a65d2	2006-12-9 20:3:46	\maps\西北南区\永乐镇\v_107\111_region_s.dat	2100	259	4	54fb4610
195	9c30bc	2006-12-9 20:3:8	\maps\特殊用地\剑门关\v_092\094_region_s.dat	2100	248	4	1436f831
196	9ce353	2006-12-9 20:4:24	\maps\中原北区\少林派\少林密室\v_103\112_region_s.dat	2173	138	4	cecc8e65
197	9f1e3c	2006-12-9 20:3:15	\maps\特殊用地\任务用地\信使任务\风之骑\v_089\095_region_s.dat	2100	167	4	6374154e
198	9f36ca	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞2\v_100\108_region_s.dat	2356	152	4	c12959f7
199	a38249	2006-12-9 20:3:27	\maps\特殊用地\森林战场\v_098\074_region_s.dat	2100	198	4	38ccbbac
200	a38710	2006-12-9 20:3:43	\maps\西北南区\剑阁西北\金光洞迷宫\v_093\102_region_s.dat	2100	145	4	ff2fa22f
201	a3ab55	2006-12-9 20:2:57	\maps\江南区\临安\临安\v_102\107_region_s.dat	2100	184	4	1f98b812
202	a4adfc	2006-12-9 20:3:47	\maps\西南北区\长江源头\长江源头\v_184\149_region_s.dat	2173	166	4	ef8bbcb2
203	a54ad2	2006-12-9 20:3:39	\maps\西北南区\凤翔\v_105\114_region_s.dat	2295	266	4	4895c406
204	a65c4d	2006-12-9 20:3:42	\maps\西北南区\华山派\华山派\v_093\085_region_s.dat	2100	49	4	5fbfd42f
205	a72e74	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞3\v_098\098_region_s.dat	2295	202	4	95c3b8f0
206	a93b62	2006-12-9 20:3:9	\maps\特殊用地\平原战场\v_078\075_region_s.dat	2100	53	4	842ad034
207	aad644	2006-12-9 20:3:39	\maps\西北南区\华山\华山\v_110\163_region_s.dat	2100	216	4	5f95ea90
208	abb245	2006-12-9 20:2:58	\maps\江南区\西山屿\v_080\081_region_s.dat	247	73	4	ae9c6528
209	abf452	2006-12-9 20:3:47	\maps\西北南区\永乐镇\v_113\116_region_s.dat	2100	97	4	670caf26
210	abf5b5	2010-5-19 9:58:3	\maps\特殊用地\qichengdazhan\linanzhanchang\v_110\102_region_s.dat	2100	37	4	55eb5d62
211	ad3990	2006-12-9 20:2:58	\maps\两湖区\巴陵县\v_103\089_region_s.dat	2234	153	4	4971609c
