物品索引（行数减1）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
232	999	0	0	0	0	0	0	0	0	0
233	999	0	0	0	0	0	0	0	0	0
234	999	0	0	0	0	0	0	0	0	0
235	999	0	0	0	0	0	0	0	0	0
236	999	0	0	0	0	0	0	0	0	0
148	999	1	0	0	0	0	0	0	0	0
150	999	0	0	0	0	0	0	0	0	0
151	999	0	1	0	0	0	0	0	0	0
152	999	0	0	0	0	0	0	0	0	0
153	999	0	1	0	0	0	0	0	0	0
154	999	0	0	0	0	0	0	0	0	0
155	999	0	1	0	0	0	0	0	0	0
404	999	0	0	0	0	0	0	0	0	0
405	999	0	0	0	0	0	0	0	0	0
406	999	0	0	0	0	0	0	0	0	0
407	999	0	0	0	0	0	0	0	0	0
981	999	0	0	0	0	0	0	0	0	0
982	999	0	0	0	0	0	0	0	0	0
983	999	0	0	0	0	0	0	0	0	0
984	999	0	0	0	0	0	0	0	0	0
985	999	0	0	0	0	0	0	0	0	0
986	999	0	0	0	0	0	0	0	0	0
987	999	0	0	0	0	0	0	0	0	0
988	999	0	0	0	0	0	0	0	0	0
989	999	0	0	0	0	0	0	0	0	0
990	999	0	0	0	0	0	0	0	0	0
991	999	0	0	0	0	0	0	0	0	0
992	999	0	0	0	0	0	0	0	0	0
993	999	0	0	0	0	0	0	0	0	0
994	999	0	0	0	0	0	0	0	0	0
995	999	0	0	0	0	0	0	0	0	0
996	999	0	0	0	0	0	0	0	0	0
997	999	0	0	0	0	0	0	0	0	0
1012	999	0	0	0	0	0	0	0	0	0
1013	999	0	0	0	0	0	0	0	0	0
1038	999	0	0	0	0	0	0	0	0	0
1039	999	0	0	0	0	0	0	0	0	0
1040	999	0	0	0	0	0	0	0	0	0
1041	999	0	0	0	0	0	0	0	0	0
1042	999	0	0	0	0	0	0	0	0	0
1043	999	0	0	0	0	0	0	0	0	0
1044	999	0	0	0	0	0	0	0	0	0
1045	999	0	0	0	0	0	0	0	0	0
1046	999	0	0	0	0	0	0	0	0	0
1047	999	0	0	0	0	0	0	0	0	0
1048	999	0	0	0	0	0	0	0	0	0
1049	999	0	0	0	0	0	0	0	0	0
1050	999	0	0	0	0	0	0	0	0	0
1051	999	0	0	0	0	0	0	0	0	0
13	999	0	0	0	0	0	0	0	0	0
22	999	0	0	0	0	0	0	0	0	0
1015	999	0	0	0	0	0	0	0	0	0
1016	999	0	0	0	0	0	0	0	0	0
1020	999	0	0	0	0	0	0	0	0	0
1062	999	0	0	0	0	0	0	0	0	0
1063	999	0	0	0	0	0	0	0	0	0
1115	999	0	0	0	0	0	0	0	0	0
1116	999	0	0	0	0	0	0	0	0	0
1117	999	0	0	0	0	0	0	0	0	0
1118	999	0	0	0	0	0	0	0	0	0
1129	999	0	0	0	0	0	0	0	0	0
1130	999	0	0	0	0	0	0	0	0	0
1131	999	0	0	0	0	0	0	0	0	0
1132	999	0	0	0	0	0	0	0	0	0
1133	999	0	0	0	0	0	0	0	0	0
1134	999	0	0	0	0	0	0	0	0	0
1135	999	0	0	0	0	0	0	0	0	0
1136	999	0	0	0	0	0	0	0	0	0
1137	999	0	0	0	0	0	0	0	0	0
1138	999	0	0	0	0	0	0	0	0	0
1178	999	0	0	0	0	0	0	0	0	0
1179	999	0	0	0	0	0	0	0	0	0
1180	999	0	0	0	0	0	0	0	0	0
1181	999	0	0	0	0	0	0	0	0	0
1224	999	0	0	0	0	0	0	0	0	0
1225	999	0	0	0	0	0	0	0	0	0
1226	999	0	0	0	0	0	0	0	0	0
1227	999	0	0	0	0	0	0	0	0	0
1228	999	0	0	0	0	0	0	0	0	0
1229	999	0	0	0	0	0	0	0	0	0
1230	999	0	0	0	0	0	0	0	0	0
1231	999	0	0	0	0	0	0	0	0	0
1259	999	0	0	0	0	0	0	0	0	0
1232	999	0	0	0	0	0	0	0	0	0
1233	999	0	0	0	0	0	0	0	0	0
1234	999	0	0	0	0	0	0	0	0	0
1235	999	0	0	0	0	0	0	0	0	0
1236	999	0	0	0	0	0	0	0	0	0
1237	999	0	0	0	0	0	0	0	0	0
1244	999	0	0	0	0	0	0	0	0	0
1245	999	0	0	0	0	0	0	0	0	0
1246	999	0	0	0	0	0	0	0	0	0
1247	999	0	0	0	0	0	0	0	0	0
1248	999	0	0	0	0	0	0	0	0	0
1249	999	0	0	0	0	0	0	0	0	0
1296	999	0	0	0	0	0	0	0	0	0
1297	999	0	0	0	0	0	0	0	0	0
1298	999	0	0	0	0	0	0	0	0	0
1299	999	0	0	0	0	0	0	0	0	0
1300	999	0	0	0	0	0	0	0	0	0
1302	999	0	0	0	0	0	0	0	0	0
1318	999	0	0	0	0	0	0	0	0	0
1319	999	0	0	0	0	0	0	0	0	0
1320	999	0	0	0	0	0	0	0	0	0
1321	999	0	0	0	0	0	0	0	0	0
1322	999	0	0	0	0	0	0	0	0	0
1323	999	0	0	0	0	0	0	0	0	0
1324	999	0	0	0	0	0	0	0	0	0
1325	999	0	0	0	0	0	0	0	0	0
1326	999	0	0	0	0	0	0	0	0	0
1327	999	0	0	0	0	0	0	0	0	0
1328	999	0	0	0	0	0	0	0	0	0
1329	999	0	0	0	0	0	0	0	0	0
1330	999	0	0	0	0	0	0	0	0	0
1331	999	0	0	0	0	0	0	0	0	0
1332	999	0	0	0	0	0	0	0	0	0
1333	999	0	0	0	0	0	0	0	0	0
1334	999	0	0	0	0	0	0	0	0	0
1357	999	0	0	0	0	0	0	0	0	0
1358	999	0	0	0	0	0	0	0	0	0
1359	999	0	0	0	0	0	0	0	0	0
1360	999	0	0	0	0	0	0	0	0	0
1361	999	0	0	0	0	0	0	0	0	0
1362	999	0	0	0	0	0	0	0	0	0
1363	999	0	0	0	0	0	0	0	0	0
1364	999	0	0	0	0	0	0	0	0	0
1365	999	0	0	0	0	0	0	0	0	0
1366	999	0	0	0	0	0	0	0	0	0
1404	999	0	0	0	0	0	0	0	0	0
1405	999	0	0	0	0	0	0	0	0	0
1425	999	0	0	0	0	0	0	0	0	0
1449	999	0	0	0	0	0	0	0	0	0
1488	999	0	0	0	0	0	0	0	0	0
1505	999	0	0	0	0	0	0	0	0	0
1514	999	0	0	0	0	0	0	0	0	0
1515	999	0	0	0	0	0	0	0	0	0
1516	999	0	0	0	0	0	0	0	0	0
1517	999	0	0	0	0	0	0	0	0	0
1518	999	0	0	0	0	0	0	0	0	0
1519	999	0	0	0	0	0	0	0	0	0
1520	999	0	0	0	0	0	0	0	0	0
1609	999	0	0	0	0	0	0	0	0	0
1610	999	0	0	0	0	0	0	0	0	0
1611	999	0	0	0	0	0	0	0	0	0
1612	999	0	0	0	0	0	0	0	0	0
1613	999	0	0	0	0	0	0	0	0	0
1633	999	0	0	0	0	0	0	0	0	0
1634	999	0	0	0	0	0	0	0	0	0
1635	999	0	0	0	0	0	0	0	0	0
1636	999	0	0	0	0	0	0	0	0	0
1637	999	0	0	0	0	0	0	0	0	0
1638	999	0	0	0	0	0	0	0	0	0
1639	999	0	0	0	0	0	0	0	0	0
1640	999	0	0	0	0	0	0	0	0	0
1641	999	0	0	0	0	0	0	0	0	0
1642	999	0	0	0	0	0	0	0	0	0
1643	999	0	0	0	0	0	0	0	0	0
1644	999	0	0	0	0	0	0	0	0	0
1645	999	0	0	0	0	0	0	0	0	0
1646	999	0	0	0	0	0	0	0	0	0
1647	999	0	0	0	0	0	0	0	0	0
1663	999	0	0	0	0	0	0	0	0	0
1664	999	0	0	0	0	0	0	0	0	0
1665	999	0	0	0	0	0	0	0	0	0
1666	999	0	0	0	0	0	0	0	0	0
1667	999	0	0	0	0	0	0	0	0	0
1671	999	0	0	0	0	0	0	0	0	0
1672	999	0	0	0	0	0	0	0	0	0
1673	999	0	0	0	0	0	0	0	0	0
1674	999	0	0	0	0	0	0	0	0	0
1675	999	0	0	0	0	0	0	0	0	0
1677	999	0	0	0	0	0	0	0	0	0
1678	999	0	0	0	0	0	0	0	0	0
1690	999	0	0	0	0	0	0	0	0	0
1691	999	0	0	0	0	0	0	0	0	0
1692	999	0	0	0	0	0	0	0	0	0
1693	999	0	0	0	0	0	0	0	0	0
1745	999	0	0	0	0	0	0	0	0	0
1746	999	0	0	0	0	0	0	0	0	0
1747	999	0	0	0	0	0	0	0	0	0
1748	999	0	0	0	0	0	0	0	0	0
1749	999	0	0	0	0	0	0	0	0	0
1759	999	0	0	0	0	0	0	0	0	0
1760	999	0	0	0	0	0	0	0	0	0
1761	999	0	0	0	0	0	0	0	0	0
1762	999	0	0	0	0	0	0	0	0	0
1763	999	0	0	0	0	0	0	0	0	0
1764	999	0	0	0	0	0	0	0	0	0
1765	999	0	0	0	0	0	0	0	0	0
1766	999	0	0	0	0	0	0	0	0	0
1767	999	0	0	0	0	0	0	0	0	0
1768	999	0	0	0	0	0	0	0	0	0
1769	999	0	0	0	0	0	0	0	0	0
1770	999	0	0	0	0	0	0	0	0	0
1771	999	0	0	0	0	0	0	0	0	0
1772	999	0	0	0	0	0	0	0	0	0
1773	999	0	0	0	0	0	0	0	0	0
1802	999	0	0	0	1	1	1	1	1	1
1805	999	0	0	0	0	0	0	0	0	0
1806	999	0	0	0	0	0	0	0	0	0
1807	999	0	0	0	0	0	0	0	0	0
1808	999	0	0	0	0	0	0	0	0	0
1809	999	0	0	0	0	0	0	0	0	0
1810	999	0	0	0	0	0	0	0	0	0
1811	999	0	0	0	0	0	0	0	0	0
1812	999	0	0	0	0	0	0	0	0	0
1813	999	0	0	0	0	0	0	0	0	0
1814	999	0	0	0	0	0	0	0	0	0
1816	999	0	0	0	0	0	0	0	0	0
1817	999	0	0	0	0	0	0	0	0	0
1828	999	0	0	0	0	0	0	0	0	0
1831	999	0	0	0	0	0	0	0	0	0
1830	999	0	0	0	0	0	0	0	0	0
1845	999	0	0	0	1	1	1	1	0	0
1846	999	0	0	0	0	0	0	0	0	0
1852	999	0	0	0	0	0	0	0	0	0
1853	999	0	0	0	0	0	0	0	0	0
1854	999	0	0	0	0	0	0	0	0	0
1855	999	0	0	0	0	0	0	0	0	0
1856	999	0	0	0	0	0	0	0	0	0
1857	999	0	0	0	0	0	0	0	0	0
1858	999	0	0	0	0	0	0	0	0	0
1859	999	0	0	0	0	0	0	0	0	0
1860	999	0	0	0	1	1	1	1	1	1
1862	999	0	0	0	1	1	1	1	1	1
1863	999	0	0	0	0	0	0	0	0	0
1895	999	0	0	0	0	0	0	0	0	0
1896	999	0	0	0	0	0	0	0	0	0
1897	999	0	0	0	0	0	0	0	0	0
1898	999	0	0	0	0	0	0	0	0	0
1899	999	0	0	0	0	0	0	0	0	0
1900	999	0	0	0	0	0	0	0	0	0
1901	999	0	0	0	0	0	0	0	0	0
1902	999	0	0	0	0	0	0	0	0	0
1903	999	0	0	0	0	0	0	0	0	0
1904	999	0	0	0	0	0	0	0	0	0
1923	999	0	0	0	0	0	0	0	0	0
1924	999	0	0	0	0	0	0	0	0	0
1925	999	0	0	0	0	0	0	0	0	0
1926	999	0	0	0	0	0	0	0	0	0
1927	999	0	0	0	0	0	0	0	0	0
1969	999	0	0	0	1	0	0	0	0	0
1970	999	0	0	0	1	0	0	0	0	0
1971	999	0	0	0	1	0	0	0	0	0
1972	999	0	0	0	1	0	0	0	0	0
1973	999	0	0	0	1	0	0	0	0	0
1974	999	0	0	0	1	0	0	0	0	0
1975	999	0	0	0	1	0	0	0	0	0
1976	999	0	0	0	1	0	0	0	0	0
1977	999	0	0	0	1	0	0	0	0	0
1978	999	0	0	0	1	0	0	0	0	0
1979	999	0	0	0	1	0	0	0	0	0
1980	999	0	0	0	1	0	0	0	0	0
1996	999	0	0	0	1	0	0	0	0	0
1997	999	0	0	0	1	0	0	0	0	0
1998	999	0	0	0	1	0	0	0	0	0
1999	999	0	0	0	1	0	0	0	0	0
2018	999	0	0	0	1	0	0	0	0	0
2020	999	0	0	0	0	0	0	0	0	0
2021	999	0	0	0	1	0	0	0	0	0
2022	999	0	0	0	1	0	0	0	0	0
2023	999	0	0	0	1	0	0	0	0	0
2024	999	0	0	0	1	0	0	0	0	0
2025	999	0	0	0	1	0	0	0	0	0
2072	999	0	0	0	0	0	0	0	0	0
2073	999	0	0	0	0	0	0	0	0	0
2074	999	0	0	0	0	0	0	0	0	0
2075	999	0	0	0	0	0	0	0	0	0
2076	999	0	0	0	0	0	0	0	0	0
2077	999	0	0	0	0	0	0	0	0	0
2078	999	0	0	0	0	0	0	0	0	0
2079	999	0	0	0	0	0	0	0	0	0
2080	999	0	0	0	0	0	0	0	0	0
2086	999	0	0	0	0	0	0	0	0	0
2087	999	0	0	0	0	0	0	0	0	0
2088	999	0	0	0	0	0	0	0	0	0
2089	999	0	0	0	0	0	0	0	0	0
2090	999	0	0	0	0	0	0	0	0	0
2091	999	0	0	0	0	0	0	0	0	0
2092	999	0	0	0	0	0	0	0	0	0
2093	999	0	0	0	0	0	0	0	0	0
2108	999	0	0	0	0	0	0	0	0	0
2109	999	0	0	0	0	0	0	0	0	0
2110	999	0	0	0	0	0	0	0	0	0
2111	999	0	0	0	0	0	0	0	0	0
2135	999	0	0	0	0	0	0	0	0	0
2136	999	0	0	0	0	0	0	0	0	0
2139	999	0	0	0	0	0	0	0	0	0
2140	999	0	0	0	0	0	0	0	0	0
2141	999	0	0	0	0	0	0	0	0	0
2142	999	0	0	0	0	0	0	0	0	0
2143	999	0	0	0	0	0	0	0	0	0
2144	999	0	0	0	0	0	0	0	0	0
2145	999	0	0	0	0	0	0	0	0	0
2146	999	0	0	0	0	0	0	0	0	0
2170	999	0	0	0	0	0	0	0	0	0
2174	999	0	0	0	0	0	0	0	0	0
2183	999	0	0	0	0	0	0	0	0	0
2184	999	0	0	0	0	0	0	0	0	0
2185	999	0	0	0	0	0	0	0	0	0
2186	999	0	0	0	0	0	0	0	0	0
2187	999	0	0	0	0	0	0	0	0	0
2188	999	0	0	0	0	0	0	0	0	0
2189	999	0	0	0	0	0	0	0	0	0
2190	999	0	0	0	0	0	0	0	0	0
2191	999	0	0	0	0	0	0	0	0	0
2192	999	0	0	0	0	0	0	0	0	0
2193	999	0	0	0	0	0	0	0	0	0
2203	999	0	0	0	0	0	0	0	0	0
2204	999	0	0	0	0	0	0	0	0	0
2205	999	0	0	0	0	0	0	0	0	0
2206	999	0	0	0	0	0	0	0	0	0
2207	999	0	0	0	0	0	0	0	0	0
2208	999	0	0	0	0	0	0	0	0	0
2209	999	0	0	0	0	0	0	0	0	0
2210	999	0	0	0	0	0	0	0	0	0
2212	999	0	0	0	0	0	0	0	0	0
2214	999	0	0	0	0	0	0	0	0	0
2215	999	0	0	0	0	0	0	0	0	0
2216	999	0	0	0	0	0	0	0	0	0
2217	999	0	0	0	0	0	0	0	0	0
2232	999	0	0	0	0	0	0	0	0	0
2235	999	0	0	0	0	0	0	0	0	0
2236	999	0	0	0	0	0	0	0	0	0
2237	999	0	0	0	0	0	0	0	0	0
2238	999	0	0	0	0	0	0	0	0	0
2239	999	0	0	0	0	0	0	0	0	0
2240	999	0	0	0	0	0	0	0	0	0
2241	999	0	0	0	0	0	0	0	0	0
2242	999	0	0	0	0	0	0	0	0	0
2243	999	0	0	0	0	0	0	0	0	0
2244	999	0	0	0	0	0	0	0	0	0
2245	999	1	0	0	0	0	0	0	0	0
2246	999	0	0	0	0	0	0	0	0	0
2247	999	0	0	0	0	0	0	0	0	0
2248	999	0	0	0	0	0	0	0	0	0
2249	999	0	0	0	0	0	0	0	0	0
2250	999	0	0	0	0	0	0	0	0	0
2251	999	0	0	0	0	0	0	0	0	0
2252	999	0	0	0	0	0	0	0	0	0
2253	999	0	0	0	0	0	0	0	0	0
2277	999	0	0	0	0	0	0	0	0	0
2278	999	0	0	0	0	0	0	0	0	0
2279	999	0	0	0	0	0	0	0	0	0
2280	999	0	0	0	0	0	0	0	0	0
2281	999	0	0	0	0	0	0	0	0	0
2282	999	0	0	0	0	0	0	0	0	0
2303	999	0	0	0	0	0	0	0	0	0
2304	999	1	0	0	0	0	0	0	0	0
2306	999	0	0	0	0	0	0	0	0	0
2307	999	0	0	0	0	0	0	0	0	0
2308	999	0	0	0	0	0	0	0	0	0
2309	999	0	0	0	0	0	0	0	0	0
2310	999	0	0	0	0	0	0	0	0	0
2311	999	0	0	0	0	0	0	0	0	0
2312	999	0	0	0	0	0	0	0	0	0
2313	999	0	0	0	0	0	0	0	0	0
2314	999	0	0	0	0	0	0	0	0	0
2315	999	0	0	0	0	0	0	0	0	0
2316	999	0	0	0	0	0	0	0	0	0
2317	999	0	0	0	0	0	0	0	0	0
2318	999	0	0	0	0	0	0	0	0	0
2319	999	0	0	0	0	0	0	0	0	0
2321	999	0	0	0	0	0	0	0	0	0
2322	999	0	0	0	0	0	0	0	0	0
2323	999	0	0	0	0	0	0	0	0	0
2329	999	0	0	0	0	0	0	0	0	0
2330	999	0	0	0	0	0	0	0	0	0
2331	999	0	0	0	0	0	0	0	0	0
2332	999	0	0	0	0	0	0	0	0	0
2333	999	0	0	0	0	0	0	0	0	0
2357	999	0	0	0	0	0	0	0	0	0
2358	999	0	0	0	0	0	0	0	0	0
2359	999	0	0	0	0	0	0	0	0	0
2369	999	0	0	0	0	0	0	0	0	0
2370	999	0	0	0	0	0	0	0	0	0
2371	999	0	0	0	0	0	0	0	0	0
2372	999	0	0	0	0	0	0	0	0	0
2373	999	0	0	0	0	0	0	0	0	0
2374	999	0	0	0	0	0	0	0	0	0
2375	999	0	0	0	0	0	0	0	0	0
2376	999	0	0	0	0	0	0	0	0	0
2377	999	0	0	0	0	0	0	0	0	0
2378	999	0	0	0	0	0	0	0	0	0
2379	999	0	0	0	0	0	0	0	0	0
2384	999	0	0	0	0	0	0	0	0	0
2385	999	0	0	0	0	0	0	0	0	0
2386	999	0	0	0	0	0	0	0	0	0
2387	999	0	0	0	0	0	0	0	0	0
2388	999	0	0	0	0	0	0	0	0	0
2389	999	0	0	0	0	0	0	0	0	0
2390	999	0	0	0	0	0	0	0	0	0
2408	999	0	0	0	0	0	0	0	0	0
2414	999	0	0	0	0	0	0	0	0	0
2415	999	0	0	0	0	0	0	0	0	0
2416	999	0	0	0	0	0	0	0	0	0
2417	999	0	0	0	0	0	0	0	0	0
2418	999	0	0	0	0	0	0	0	0	0
2419	999	0	0	0	0	0	0	0	0	0
2420	999	0	0	0	0	0	0	0	0	0
2421	999	0	0	0	0	0	0	0	0	0
2422	999	0	0	0	0	0	0	0	0	0
2423	999	0	0	0	0	0	0	0	0	0
2424	999	0	0	0	0	0	0	0	0	0
2425	999	0	0	0	0	0	0	0	0	0
2426	999	0	0	0	0	0	0	0	0	0
2427	999	0	0	0	0	0	0	0	0	0
2428	999	0	0	0	0	0	0	0	0	0
2429	999	0	0	0	0	0	0	0	0	0
2430	999	0	0	0	0	0	0	0	0	0
2431	999	0	0	0	0	0	0	0	0	0
2432	999	0	0	0	0	0	0	0	0	0
2433	999	0	0	0	0	0	0	0	0	0
2434	999	0	0	0	0	0	0	0	0	0
2507	999	0	0	0	0	0	0	0	0	0
2508	999	0	0	0	0	0	0	0	0	0
2509	999	0	0	0	0	0	0	0	0	0
2510	999	0	0	0	0	0	0	0	0	0
2511	999	0	0	0	0	0	0	0	0	0
2512	999	0	0	0	0	0	0	0	0	0
2513	999	0	0	0	0	0	0	0	0	0
2514	999	0	0	0	0	0	0	0	0	0
2515	999	0	0	0	0	0	0	0	0	0
2516	999	0	0	0	0	0	0	0	0	0
2517	999	0	0	0	0	0	0	0	0	0
2518	999	0	0	0	0	0	0	0	0	0
2519	999	0	0	0	0	0	0	0	0	0
2520	999	0	0	0	0	0	0	0	0	0
2521	999	0	0	0	0	0	0	0	0	0
2522	999	0	0	0	0	0	0	0	0	0
2523	999	0	0	0	0	0	0	0	0	0
2524	999	0	0	0	0	0	0	0	0	0
2543	999	0	0	0	0	0	0	0	0	0
2577	999	0	0	0	0	0	0	0	0	0
2583	999	0	0	0	0	0	0	0	0	0
2584	999	0	0	0	0	0	0	0	0	0
2585	999	0	0	0	0	0	0	0	0	0
2586	999	0	0	0	0	0	0	0	0	0
2587	999	0	0	0	0	0	0	0	0	0
2588	999	0	0	0	0	0	0	0	0	0
2589	999	0	0	0	0	0	0	0	0	0
2590	999	0	0	0	0	0	0	0	0	0
2591	999	0	0	0	0	0	0	0	0	0
2601	999	0	0	0	0	0	0	0	0	0
2602	999	0	0	0	0	0	0	0	0	0
2603	999	0	0	0	0	0	0	0	0	0
2604	999	0	0	0	0	0	0	0	0	0
2605	999	0	0	0	0	0	0	0	0	0
2609	999	0	0	0	0	0	0	0	0	0
2617	999	0	0	0	0	0	0	0	0	0
2618	999	0	0	0	0	0	0	0	0	0
2619	999	0	0	0	0	0	0	0	0	0
2635	999	0	0	0	0	0	0	0	0	0
2636	999	0	0	0	0	0	0	0	0	0
2637	999	0	0	0	0	0	0	0	0	0
2638	999	0	0	0	0	0	0	0	0	0
2639	999	0	0	0	0	0	0	0	0	0
2640	999	0	0	0	0	0	0	0	0	0
2641	999	0	0	0	0	0	0	0	0	0
2642	999	0	0	0	0	0	0	0	0	0
2644	999	0	0	0	0	0	0	0	0	0
2645	999	0	0	0	0	0	0	0	0	0
2649	999	0	0	0	0	0	0	0	0	0
2650	999	0	0	0	0	0	0	0	0	0
2660	999	0	0	0	0	0	0	0	0	0
2661	999	0	0	0	0	0	0	0	0	0
2662	999	0	0	0	0	0	0	0	0	0
2663	999	0	0	0	0	0	0	0	0	0
2664	999	0	0	0	0	0	0	0	0	0
2667	999	0	0	0	0	0	0	0	0	0
2668	999	0	0	0	0	0	0	0	0	0
2710	999	0	0	0	0	0	0	0	0	0
2711	999	0	0	0	0	0	0	0	0	0
2712	999	0	0	0	0	0	0	0	0	0
2713	999	0	0	0	0	0	0	0	0	0
2714	999	0	0	0	0	0	0	0	0	0
2721	999	0	0	0	0	0	0	0	0	0
2722	999	0	0	0	0	0	0	0	0	0
2723	999	0	0	0	0	0	0	0	0	0
2724	999	0	0	0	0	0	0	0	0	0
3360	999	0	0	0	0	0	0	0	0	0
3361	999	0	0	0	0	0	0	0	0	0
3362	999	0	0	0	0	0	0	0	0	0
3363	999	0	0	0	0	0	0	0	0	0
3365	999	0	0	0	0	0	0	0	0	0
3385	999	0	0	0	0	0	0	0	0	0
